cid,firstlast,lastname,state,party,office,gender,first_elected,exit_code,comments,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate
N00035380,Bradley Byrne,BYRNE,AL,R,AL01,M,2013,0,,202-225-4931,202-225-0562,https://byrne.house.gov,https://byrne.house.gov/contact/email-me,119 Cannon House Office Building,B001289,27584,H4AL01123,RepByrne,,RepByrne,1955-02-16
N00030768,Martha Roby,ROBY,AL,R,AL02,F,2010,0,,202-225-2901,202-225-8913,http://roby.house.gov,https://roby.house.gov/contact-me,442 Cannon House Office Building,R000591,71604,H0AL02087,RepMarthaRoby,https://youtube.com/reproby,Representative.Martha.Roby,1976-07-27
N00024759,Mike D Rogers,ROGERS,AL,R,AL03,M,2002,0,,202-225-3261,202-226-8485,https://mikerogers.house.gov,http://mike-rogers.house.gov/contact-mike/email-me,2184 Rayburn House Office Building,R000575,5705,H2AL03032,RepMikeRogersAL,https://youtube.com/MikeRogersAL03,CongressmanMikeDRogers,1958-07-16
N00003028,Robert B Aderholt,ADERHOLT,AL,R,AL04,M,1996,0,,202-225-4876,202-225-5587,https://aderholt.house.gov,http://aderholt.house.gov/email-me2/,235 Cannon House Office Building,A000055,441,H6AL04098,Robert_Aderholt,https://youtube.com/RobertAderholt,RobertAderholt,1965-07-22
N00030910,Mo Brooks,BROOKS,AL,R,AL05,M,2010,0,Lost Senate special primary,202-225-4801,202-225-4392,https://brooks.house.gov,https://brooks.house.gov/email-me,2400 Rayburn House Office Building,B001274,121610,H0AL05163,RepMoBrooks,https://youtube.com/RepMoBrooks,RepMoBrooks,1954-04-29
N00035691,Gary Palmer,PALMER,AL,R,AL06,M,2014,0,,202-225-4921,202-225-2082,https://palmer.house.gov,,330 Cannon House Office Building,P000609,,H4AL06098,USRepGaryPalmer,,CongressmanGaryPalmer,1954-05-14
N00030622,Terri A Sewell,SEWELL,AL,D,AL07,F,2010,0,,202-225-2665,202-226-9567,https://sewell.house.gov,https://sewell.house.gov/email-me,2201 Rayburn House Office Building,S001185,121621,H0AL07086,RepTerriSewell,https://youtube.com/RepSewell,RepSewell,1965-01-01
N00003062,Jeff Sessions,SESSIONS,AL,R,ALS1,M,1996,6,Resigned to become Attorney General,202-224-4124,202-224-3149,http://www.sessions.senate.gov/public,http://www.sessions.senate.gov/public/index.cfm/contact-jeff,326 Russell Senate Office Building,S001141,443,S6AL00195,SenatorSessions,https://youtube.com/SenatorSessions,jeffsessions,1946-12-24
N00024817,Doug Jones,JONES,AL,D,ALS1,M,2017,0,,202-224-4124,,https://www.jones.senate.gov,https://www.jones.senate.gov/content/contact-senator,326 Russell Senate Office Building,J000300,,,sendougjones,,senatordougjones,1954-05-04
N00040607,Luther Strange,Strange,AL,R,ALS1,M,2017,13,Appointed to replace Sessions,202-224-4124,202-224-3149,https://www.strange.senate.gov,https://www.strange.senate.gov/content/contact-senator,326 Russell Senate Office Building,S001202,,,SenatorStrange,,SenatorLutherStrange,1953-03-01
N00009920,Richard C Shelby,SHELBY,AL,R,ALS2,M,1986,0,,202-224-5744,202-224-3416,https://www.shelby.senate.gov,https://www.shelby.senate.gov/public/index.cfm/emailsenatorshelby,304 Russell Senate Office Building,S000320,53266,S6AL00013,SenShelby,https://youtube.com/SenatorRichardShelby,RichardShelby,1934-05-06
N00007999,Don Young,YOUNG,AK,R,AK01,M,1973,0,,202-225-5765,202-225-0425,http://donyoung.house.gov,https://donyoung.house.gov/forms/writeyourrep/,2314 Rayburn House Office Building,Y000033,26717,H6AK00045,RepDonYoung,https://youtube.com/RepDonYoung,RepDonYoung,1933-06-09
N00035774,Dan Sullivan,SULLIVAN,AK,R,AKS1,M,2014,0,,202-224-3004,,https://www.sullivan.senate.gov,https://www.sullivan.senate.gov/contact/email,702 Hart Senate Office Building,S001198,,S4AK00214,SenDanSullivan,,SenDanSullivan,1964-11-13
N00026050,Lisa Murkowski,MURKOWSKI,AK,R,AKS2,F,2002,0,,202-224-6665,202-224-5301,https://www.murkowski.senate.gov,https://www.murkowski.senate.gov/public/index.cfm/contact,522 Hart Senate Office Building,M001153,15841,S4AK00099,LisaMurkowski,https://youtube.com/senatormurkowski,SenLisaMurkowski,1957-05-22
N00037515,Tom O'Halleran,O'HALLERAN,AZ,D,AZ01,M,2016,0,,202-225-3361,,https://ohalleran.house.gov,,126 Cannon House Office Building,O000171,,,repohalleran,,repohalleran,1946-01-24
N00033982,Martha McSally,MCSALLY,AZ,R,AZ02,F,2014,21,Lost Senate general,202-225-2542,202-225-0378,https://mcsally.house.gov,,510 Cannon House Office Building,M001197,,H2AZ08102,RepMcSally,,RepMcSally,1966-03-22
N00025284,Raul M Grijalva,GRIJALVA,AZ,D,AZ03,M,2002,0,,202-225-2435,202-225-1541,https://grijalva.house.gov,https://grijalvaforms.house.gov/email-raul,1511 Longworth House Office Building,G000551,28253,H2AZ07070,RepRaulGrijalva,https://youtube.com/raulgrijalvaaz07,Rep.Grijalva,1948-02-19
